Model,Label,Value,Phase,Min,Max,Init,Gradient,Pr_type,Prior,Pr_SD,Pr_Like,LCI95,UCI95
M23_0a,Main_RecrDev_2012,-0.123534,1,-5,5,0,-3.14534e-7,dev,NA,NA,NA,NA,NA
M23_0a,Main_RecrDev_2013,-0.273611,1,-5,5,0,-7.19072e-7,dev,NA,NA,NA,NA,NA
M23_0a,Main_RecrDev_2014,0.204213,1,-5,5,0,9.2432e-8,dev,NA,NA,NA,NA,NA
M23_0a,Main_RecrDev_2015,-0.364494,1,-5,5,0,-1.33361e-6,dev,NA,NA,NA,NA,NA
M23_0a,Main_RecrDev_2016,-0.337564,1,-5,5,0,1.75145e-6,dev,NA,NA,NA,NA,NA
M23_0a,Main_RecrDev_2017,-0.254368,1,-5,5,0,-8.12494e-7,dev,NA,NA,NA,NA,NA
M23_0a,Main_RecrDev_2018,0.0312879,1,-5,5,0,-2.09401e-6,dev,NA,NA,NA,NA,NA
M23_0a,Main_RecrDev_2019,0.267622,1,-5,5,0,-9.0631e-7,dev,NA,NA,NA,NA,NA
M23_0a,Main_RecrDev_2020,-0.291924,1,-5,5,0,5.59489e-7,dev,NA,NA,NA,NA,NA
M23_0a,Late_RecrDev_2021,-0.506195,11,-5,5,0,1.62914e-6,dev,NA,NA,NA,NA,NA
M23_0a,Late_RecrDev_2022,-1.75574e-4,11,-5,5,0,2.4964e-7,dev,NA,NA,NA,NA,NA
M23_0a,Late_RecrDev_2023,0,11,-5,5,0,0,dev,NA,NA,NA,NA,NA
M23_0a,ForeRecr_2024,0,11,-5,5,0,0,dev,NA,NA,NA,NA,NA
M23_0a,ForeRecr_2025,0,11,-5,5,0,0,dev,NA,NA,NA,NA,NA
M23_0a,ForeRecr_2026,0,11,-5,5,0,0,dev,NA,NA,NA,NA,NA
M23_0a,ForeRecr_2027,0,11,-5,5,0,0,dev,NA,NA,NA,NA,NA
M23_0a,ForeRecr_2028,0,11,-5,5,0,0,dev,NA,NA,NA,NA,NA
M23_0a,ForeRecr_2029,0,11,-5,5,0,0,dev,NA,NA,NA,NA,NA
M23_0a,ForeRecr_2030,0,11,-5,5,0,0,dev,NA,NA,NA,NA,NA
M23_0a,ForeRecr_2031,0,11,-5,5,0,0,dev,NA,NA,NA,NA,NA
M23_0a,ForeRecr_2032,0,11,-5,5,0,0,dev,NA,NA,NA,NA,NA
M23_0a,ForeRecr_2033,0,11,-5,5,0,0,dev,NA,NA,NA,NA,NA
M23_0a,ForeRecr_2034,0,11,-5,5,0,0,dev,NA,NA,NA,NA,NA
M23_0a,ForeRecr_2035,0,11,-5,5,0,0,dev,NA,NA,NA,NA,NA
M23_0a,ForeRecr_2036,0,11,-5,5,0,0,dev,NA,NA,NA,NA,NA
M23_0a,ForeRecr_2037,0,11,-5,5,0,0,dev,NA,NA,NA,NA,NA
M23_0a,ForeRecr_2038,0,11,-5,5,0,0,dev,NA,NA,NA,NA,NA
M23_0a,LnQ_base_Srv(2),-0.00218919,10,-10,10,-0.00869587,-5.63727e-6,Normal,0,0.01,0.0239628,-0.0217579,0.0173795
M23_0a,Size_DblN_peak_FshComb(1),99.0932,3,60,100,98,2.39717e-6,Normal,98,1,0.597555,97.222,100
